"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"EEF1B2",0,0.600852411603505,0.949,0.802,0,"1","EEF1B2",0.147
"RPS8",0,0.59336699917728,0.995,0.959,0,"1","RPS8",0.036
"RPS11",0,0.562768228063911,0.991,0.94,0,"1","RPS11",0.051
"RPLP2",0,0.550763929778596,0.999,0.982,0,"1","RPLP2",0.017
"RPS5",0,0.524517964530253,0.991,0.934,0,"1","RPS5",0.0569999999999999
"CMTM6",1.56997561431923e-295,0.64950775219908,0.534,0.251,3.1057257602463e-291,"1","CMTM6",0.283
"RP1-313I6.12",1.15624045944155e-270,0.605007583729599,0.354,0.119,2.28727487686727e-266,"1","RP1-313I6.12",0.235
"ORAI2",4.00465827216641e-248,0.604336375566603,0.286,0.087,7.9220149939996e-244,"1","ORAI2",0.199
"EMP3",5.32627206138776e-248,0.861019828405368,0.726,0.531,1.05364313918373e-243,"1","EMP3",0.195
"ZFAS1",9.10263679830021e-237,0.565453953864822,0.742,0.518,1.80068361143975e-232,"1","ZFAS1",0.224
"REL",7.74979684882557e-227,0.590945282910544,0.582,0.321,1.53306481263467e-222,"1","REL",0.261
"LSM7",1.853982959247e-225,0.640273000638628,0.531,0.297,3.66754908998241e-221,"1","LSM7",0.234
"C7orf50",3.79886155787325e-210,0.584032936298488,0.355,0.149,7.51490793378487e-206,"1","C7orf50",0.206
"SNX2",1.93713511823594e-198,0.526249870903382,0.291,0.105,3.83204069089433e-194,"1","SNX2",0.186
"FAIM3",5.12767460038648e-195,0.5088514352602,0.264,0.086,1.01435658944845e-190,"1","FAIM3",0.178
"CCR7",3.11757273040213e-192,0.500243564824658,0.434,0.195,6.1671823752815e-188,"1","CCR7",0.239
"ID3",2.40724092296363e-190,0.573690087710587,0.326,0.125,4.76200399380665e-186,"1","ID3",0.201
"SYNGR2",3.95744348618495e-188,0.578819979674244,0.419,0.21,7.82861470437106e-184,"1","SYNGR2",0.209
"TMEM123",1.50096033264348e-186,0.710070224065143,0.499,0.3,2.96919973003533e-182,"1","TMEM123",0.199
"EIF1B",4.36858441612269e-175,0.511166009048298,0.513,0.303,8.64193369197391e-171,"1","EIF1B",0.21
"DDX21",5.65875488527272e-169,0.578733098935113,0.46,0.259,1.11941489140465e-164,"1","DDX21",0.201
"NR4A2",8.32110230052898e-135,0.557124237315924,0.531,0.341,1.64608045709064e-130,"1","NR4A2",0.19
"ALG13",2.43464799517232e-127,0.525000974978092,0.361,0.196,4.81622066404988e-123,"1","ALG13",0.165
"WDR74",2.44447313175257e-120,0.506863298776867,0.347,0.189,4.83565674923293e-116,"1","WDR74",0.158
"CCL5",0,2.81443463514411,0.964,0.144,0,"2","CCL5",0.82
"NKG7",0,2.79347174717102,0.858,0.077,0,"2","NKG7",0.781
"GNLY",0,2.758687814668,0.341,0.072,0,"2","GNLY",0.269
"GZMB",0,2.25014360543521,0.583,0.068,0,"2","GZMB",0.515
"GZMA",0,2.1773370299696,0.708,0.065,0,"2","GZMA",0.643
"GZMK",0,2.12704434139457,0.562,0.044,0,"2","GZMK",0.518
"CCL4",0,2.0918045011014,0.707,0.166,0,"2","CCL4",0.541
"CST7",0,2.02436548265412,0.839,0.148,0,"2","CST7",0.691
"GZMH",0,1.96117997302178,0.492,0.016,0,"2","GZMH",0.476
"CD8A",0,1.69572367249238,0.572,0.037,0,"2","CD8A",0.535
"IFNG",0,1.63145188812009,0.338,0.026,0,"2","IFNG",0.312
"PRF1",0,1.60999400358348,0.454,0.027,0,"2","PRF1",0.427
"CTSW",0,1.49633683481538,0.529,0.046,0,"2","CTSW",0.483
"XCL2",0,1.45372854635262,0.27,0.013,0,"2","XCL2",0.257
"CD8B",0,1.25530220748236,0.397,0.019,0,"2","CD8B",0.378
"CD71",0,1.21231623473362,0.75,0.281,0,"2","CD7",0.469
"GZMM",0,1.20578185421421,0.553,0.1,0,"2","GZMM",0.453
"TUBA4A",0,1.190012624968,0.627,0.284,0,"2","TUBA4A",0.343
"CMC1",0,1.14057692622147,0.272,0.05,0,"2","CMC1",0.222
"KLRD1",0,1.11342638487895,0.294,0.007,0,"2","KLRD1",0.287
"DUSP2",0,1.07783070689135,0.565,0.215,0,"2","DUSP2",0.35
"HCST",0,1.07126873221779,0.752,0.313,0,"2","HCST",0.439
"APOBEC3G",0,1.07051922278766,0.41,0.08,0,"2","APOBEC3G",0.33
"LDHA",0,1.02762379418506,0.881,0.607,0,"2","LDHA",0.274
"LAG3",0,1.01657712810979,0.385,0.055,0,"2","LAG3",0.33
"CD3D1",0,1.01303516938908,0.801,0.32,0,"2","CD3D",0.481
"AC092580.4",0,1.00087746212918,0.334,0.052,0,"2","AC092580.4",0.282
"SLA2",0,0.970612007975364,0.34,0.029,0,"2","SLA2",0.311
"SLC7A5",0,0.958063407529184,0.54,0.205,0,"2","SLC7A5",0.335
"HOPX",0,0.944268406396199,0.31,0.058,0,"2","HOPX",0.252
"FYN1",0,0.93530881848657,0.65,0.235,0,"2","FYN",0.415
"IL321",0,0.923222935100972,0.863,0.379,0,"2","IL32",0.484
"CD3E1",0,0.903462947747545,0.713,0.259,0,"2","CD3E",0.454
