"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"APOC1",1.63558354463729e-13,1.14398554941239,0.368,0.225,3.23551136800149e-09,"1","APOC1",0.143
"RPL31",2.97720646428123e-13,0.547224856983561,0.824,0.944,5.88950982764113e-09,"1","RPL31",-0.12
"AKR1B1",9.93681040703057e-12,0.983229413110288,0.287,0.173,1.96569983471879e-07,"1","AKR1B1",0.114
"GSTP1",9.10650067348936e-10,0.541897259170675,0.637,0.741,1.80144796322967e-05,"1","GSTP1",-0.104
"MS4A6A",2.89788186342969e-09,0.880296896494751,0.448,0.391,5.73258990223662e-05,"1","MS4A6A",0.057
"HLA-DQB1",7.24656205521813e-09,0.668480562582873,0.662,0.748,0.000143351490576325,"1","HLA-DQB1",-0.086
"CTSD",1.67504486008241e-08,0.885625791448765,0.567,0.593,0.000331357374221502,"1","CTSD",-0.026
"COX7C",1.37615624690137e-07,0.563084782137686,0.642,0.842,0.00272231228762028,"1","COX7C",-0.2
"PRDX1",1.33836372252071e-06,0.728430898574394,0.574,0.7,0.0264755111589046,"1","PRDX1",-0.126
"HLA-DRB1",2.32623782725708e-06,0.578850675411103,0.788,0.92,0.0460176366987996,"1","HLA-DRB1",-0.132
"C1QA1",3.11919363514889e-79,1.04285966475958,0.777,0.223,6.17038884905153e-75,"2","C1QA",0.554
"C1QC1",1.94693804545116e-73,0.665008210709603,0.739,0.19,3.85143284151148e-69,"2","C1QC",0.549
"CTSD1",1.52556636616094e-72,1.16223874338672,0.914,0.526,3.01787538553956e-68,"2","CTSD",0.388
"C1QB1",3.84139879320081e-72,0.912334883659344,0.732,0.207,7.59905509270985e-68,"2","C1QB",0.525
"A2M",6.46375131002756e-71,1.02168857860017,0.433,0.063,1.27865928414965e-66,"2","A2M",0.37
"GPNMB",8.25894474681428e-71,0.884936977472623,0.622,0.146,1.6337844498148e-66,"2","GPNMB",0.476
